"","Seazon","Number","Title","Rating","Votes","Duration","Cast"
"1",1,1,"Spadek",8.5,837,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Halina Kozioł, żona wójta | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Zofia Steć, babka zielarka"
"2",1,2,"Goście z zaświatów",8.6,734,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Andrzej Więcławski | Klaudia Kozioł, córka senatora | Wiesława Oleś, dyrektorka szkoły | Halina Kozioł, żona wójta | Jan Japycz | Tadeusz Hadziuk | Maciej Solejuk | Patryk Pietrek | Barmanka Wioletka Kotecka | Michałowa, gospodyni księdza"
"3",1,3,"Ksiądz z inicjatywą",8.6,684,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Halina Kozioł, żona wójta | Wiesława Oleś, dyrektorka szkoły | Patryk Pietrek | Andrzej Więcławski | Michałowa, gospodyni księdza | Jan Japycz | Maciej Solejuk | Marianek Solejuk"
"4",1,4,"Otrzeźwienie",8.5,668,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Klaudia Kozioł, córka senatora | Halina Kozioł, żona wójta | Kazimiera Solejukowa | Michałowa, gospodyni księdza | Policjant Stasiek Kotecki | Barmanka Wioletka Kotecka | Polonista Tomasz Witebski | Zofia Steć, babka zielarka | Maciej Solejuk | Andrzej Więcławski | Wiesława Oleś, dyrektorka szkoły | Celina Hadziukowa | Marianek Solejuk | Szymek Solejuk | Kasia Solejuk | Krystyna Więcławska"
"5",1,5,"Wieść gminna",8.5,658,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Arkadiusz Czerepach | Michałowa, gospodyni księdza | Jan Japycz | Tadeusz Hadziuk | Patryk Pietrek | Barmanka Wioletka Kotecka | Doktor Mieczysław Wezół | Policjant Stasiek Kotecki | Zofia Steć, babka zielarka | Marianek Solejuk | Szymek Solejuk"
"6",1,6,"Racja gminy",8.5,640,50,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Michałowa, gospodyni księdza | Patryk Pietrek | Arkadiusz Czerepach | Jan Japycz | Tadeusz Hadziuk | Barmanka Wioletka Kotecka | Marianek Solejuk | Szymek Solejuk"
"7",1,7,"Podwójny agent",8.6,644,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Klaudia Kozioł, córka senatora | Barmanka Wioletka Kotecka | Halina Kozioł, żona wójta | Maciej Solejuk | Patryk Pietrek | Tadeusz Hadziuk | Jan Japycz | Arkadiusz Czerepach | Michałowa, gospodyni księdza"
"8",1,8,"Kozy ofiarne",8.5,641,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Polonista Tomasz Witebski | Policjant Stasiek Kotecki | Doktor Mieczysław Wezół | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Arkadiusz Czerepach | Celina Hadziukowa | Zofia Steć, babka zielarka | Barmanka Wioletka Kotecka | Marianek Solejuk | Szymek Solejuk"
"9",1,9,"Odwyk i antykoncepcja",8.6,641,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Jan Japycz | Patryk Pietrek | Doktor Mieczysław Wezół | Arkadiusz Czerepach | Polonista Tomasz Witebski | Tadeusz Hadziuk | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Michałowa, gospodyni księdza | Halina Kozioł, żona wójta | Kazimiera Solejukowa | Szymek Solejuk | Krystyna Więcławska | Dorota Wezółowa"
"10",1,10,"Porwanie",8.6,651,49,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Tadeusz Hadziuk | Maciej Solejuk | Barmanka Wioletka Kotecka | Policjant Stasiek Kotecki | Polonista Tomasz Witebski | Klaudia Kozioł, córka senatora | Doktor Mieczysław Wezół | Kazimiera Solejukowa | Celina Hadziukowa"
"11",1,11,"Wspólny wróg",8.5,629,48,"Lucy Wilska | Wójt Paweł Kozioł / Ksiądz Piotr Kozioł | Jakub ""Kusy"" Sokołowski | Polonista Tomasz Witebski | Kazimiera Solejukowa | Celina Hadziukowa | Policjant Stasiek Kotecki | Maciej Solejuk | Jan Japycz | Patryk Pietrek | Tadeusz Hadziuk | Halina Kozioł, żona wójta | Klaudia Kozioł, córka senatora | Michałowa, gospodyni księdza | Arkadiusz Czerepach | Barmanka Wioletka Kotecka | Szymek Solejuk | Marianek Solejuk | Kasia Solejuk"
