"","Actor","Role","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Rating"
"1","Ilona Ostrowska","Lucy Wilska",1,1,1,1,1,1,1,1,1,1,8
"2","Cezary Żak","ks. bp Piotr Kozioł",1,1,1,1,1,1,1,1,1,1,9.2
"3","Cezary Żak","Paweł Kozioł",1,1,1,1,1,1,1,1,1,1,9.2
"4","Paweł Królikowski","Jakub „Kusy” Sokołowski",1,1,1,1,1,1,1,1,1,1,8.1
"5","Jeff Butcher","Jerry Smith",1,1,1,1,1,0,0,1,1,0,NA
"6","Grzegorz Wons","Andrzej Więcławski",1,1,1,1,1,1,1,1,1,1,7.6
"7","Leon Niemczyk","Jan Japycz",1,1,0,0,0,0,0,0,0,0,8.1
"8","Bogdan Kalus","Tadeusz Hadziuk",1,1,1,1,1,1,1,1,1,1,8.2
"9","Piotr Pręgowski","Patryk Pietrek",1,1,1,1,1,1,1,1,1,1,8.3
"10","Dorota Chotecka-Pazura","Krystyna Więcławska",1,1,1,1,1,1,1,1,1,1,7.8
"11","Violetta Arlak","Halina Kozioł",1,1,1,1,1,1,1,1,1,1,8.1
"12","Magdalena Waligórska-Lisiecka","Violetta Kotecka",1,1,1,1,1,1,1,1,1,1,7.6
"13","Arkadiusz Nader","Stanisław Kotecki",1,1,1,1,1,1,1,1,1,1,7.9
"14","Grażyna Zielińska","Zofia („babka”)",1,0,1,1,1,1,1,1,1,1,7.7
"15","Marta Chodorowska","Klaudia Kozioł",1,1,1,1,1,1,1,1,1,1,7.8
"16","Ewa Kuryło","Wiesława Oleś",1,1,1,1,1,1,1,1,1,1,6.6
"17","Sylwester Maciejewski","Maciej Solejuk",1,1,1,1,1,1,1,1,1,1,8.5
"18","Marta Lipińska","„Michałowa” Japycz",1,1,1,1,1,1,1,1,1,1,8.8
"19","Jędrzej Cempura","Marianek Solejuk",1,1,1,1,1,1,1,1,1,1,6.3
"20","Katarzyna Żak","Kazimiera Solejuk",1,1,1,1,1,1,1,1,1,1,8.6
"21","Jacek Kawalec","Tomasz Witebski",1,1,1,1,1,1,1,1,1,1,8
"22","Beata Olga Kowalska","Dorota Wezół",1,1,1,1,1,1,1,1,1,1,7.4
"23","Dorota Nowakowska","Celina Hadziuk",1,1,1,1,1,1,1,1,1,1,7.6
"24","Maciej Cempura","Szymek Solejuk",1,1,1,1,1,0,0,0,0,0,6.3
"25","Anna Stępień","Kasia Solejuk",1,1,1,1,1,0,1,1,1,1,6.1
"26","Artur Barciś","Arkadiusz Czerepach",1,1,1,1,1,1,1,1,1,1,9
"27","Wojciech Wysocki","Mieczysław Wezół",1,1,1,1,1,1,1,1,1,1,8
"28","Magdalena Kuta","Leokadia Czerepach (wcześniej Paciorek)",1,1,1,1,1,1,1,1,1,1,8
"29","Franciszek Pieczka","Stanisław Japycz",0,1,1,1,1,1,1,1,1,1,8.7
"30","Piotr Ligienza","Fabian Duda",0,1,1,1,1,1,1,1,1,1,7.4
"31","Wiktor Zborowski","ks. bp Wacław Sądecki",0,1,0,0,0,1,1,1,1,1,NA
"32","Przemysław Sadowski","Arkadiusz Stolarkiewicz / Jan Kowalski",0,1,0,0,0,0,0,0,0,0,NA
"33","Elżbieta Romanowska","Jolanta Pietrek",0,0,1,1,1,1,1,1,1,1,6.9
"34","Sylwia Gliwa","Weronika Więcławska-Tao",0,0,1,1,0,0,0,0,0,0,NA
"35","Nam Kyun Kim","Kao Tao",0,0,1,1,0,0,0,0,0,0,NA
"36","Bartłomiej Kasprzykowski","ks. Robert",0,0,1,1,1,0,0,1,1,1,7.4
